ID	PSI	count
chr19:18545630-18545927|-|18546057|18546075	0.0610034207526	1754
chr7:134620438-134620516|+|134618828|134618141	1	185
chr14:57949782-57949869|-|57957659|57957706	0.272727272727	11
chr17:41375578-41375637|-|41376134|41376186	0	7
chr17:79813017-79813155|-|79817054|79817056	0.689655172414	58
chr19:5915231-5915333|+|5915157|5915076	1	60
chr3:170108010-170108252|+|170102553|170102415	1	413
chr3:39141795-39141994|-|39142237|39142278	0.785219399538	433
chr2:219532801-219532869|-|219532961|219533001	0.993781094527	804
chr2:201677930-201678004|+|201676669|201676450	1	275
chr1:211599552-211599625|+|211596042|211596012	1	28
chr9:116859580-116859716|-|116859798|116859886	0	7
chr19:34884152-34884213|+|34872503|34872424	1	707
chr15:50592985-50593099|-|50593417|50593453	0.613333333333	600
chr1:742596-742703|+|740346|740220	1	93
chr1:31418192-31418330|-|31422973|31422979	0.505330490405	2814
chr17:47010566-47010708|-|47013492|47013531	0.0434913017397	3334
chr3:47108559-47108608|-|47122290|47122405	0.586206896552	203
chr1:120269473-120269528|+|120267590|120267498	1	98
chr14:24034814-24034910|-|24035024|24035272	0.82099827883	581
chr16:68264743-68264930|-|68265080|68265198	0.802588996764	309
chr5:156936308-156936475|-|156940431|156940441	0.056338028169	71
chr13:52025160-52025310|-|52025444|52025632	0.19512195122	123
chr17:40725495-40725641|-|40725836|40726116	0	607
chr20:58954369-58955764|+|58953313|58953278	1	22
chr22:28395417-28397646|+|28394826|28393727	1	62
chr19:13039155-13039271|-|13039348|13039386	0.998371865842	6142
chr20:11900365-11900484|+|11900258|11900071	1	20
chr3:50308791-50308911|+|50308612|50308608	1	10
chr13:20608393-20608544|+|20605579|20605575	1	109
chr7:127731888-127731933|+|127729877|127729744	1	59
chr5:75906844-75907008|+|75905055|75905004	1	18
chr2:39107319-39107370|+|39103352|39103251	1	71
chrX:54957636-54957864|+|54957464|54955143	1	525
chr8:17919194-17919249|-|17919756|17919787	0	643
chr8:145008977-145009097|-|145009178|145009190	0.836518046709	471
chr4:141870454-141870526|-|141888776|141888902	1	221
chr19:41939441-41939578|-|41942296|41942333	0.996292863763	1079
chr19:2477026-2477249|+|2476628|2476626	1	294
chr18:77287527-77289323|+|77246937|77246630	1	18
chr1:235926019-235926151|-|235929378|235929538	1	119
chr18:77211675-77211816|+|77211126|77211041	1	151
chr14:90450859-90451027|+|90447023|90446976	1	27
chr15:60678226-60678285|-|60688478|60688571	0.676470588235	34
chr20:37077304-37077373|+|37076736|37076266	1	10
chr17:80019084-80019229|-|80019432|80019493	0.0273715002089	4786
chr9:131233586-131233747|+|131223346|131223289	1	27
chr15:44085172-44085281|+|44084809|44084776	1	442
chr22:37540124-37540245|-|37570997|37571033	1	26
chr19:12734513-12734640|+|12723179|12723130	1	57
chr19:9529180-9529307|-|9529726|9529892	0.362244897959	196
chr2:242051654-242051854|-|242054436|242054457	0.178947368421	285
chr2:171204461-171204635|-|171206827|171206971	0	27
chr15:41066553-41066634|-|41067165|41067228	0.03515625	512
chr15:85082934-85083019|-|85085375|85085377	0.625	48
chr19:19231800-19231975|-|19232116|19232333	0.975609756098	1681
chr2:219525661-219526030|+|219524941|219524889	1	23
chr3:193770148-193770231|-|193775421|193775425	0	1
chr1:71867405-71867562|+|71703069|71702878	1	10
chr12:1023059-1023287|-|1023576|1023596	0.226470588235	340
chr8:145138616-145138764|+|145138403|145138327	1	1318
chr3:50387095-50387264|-|50387343|50387361	0.0436432637571	527
chr7:5239206-5239289|+|5232976|5232802	1	73
chr13:41379253-41379391|+|41373451|41373308	1	649
chr1:20416281-20416388|+|20415436|20415394	1	1
chr7:91143042-91143862|+|91125961|91125916	1	3
